sample,edge_recall,edge_precision,edge_f1,background_chroma_spill,background_mean_chroma
0,0.7901234567901234,0.3825773338881953,0.5155335921048405,0.045859312424418514,0.030542881013068308
10,0.924287537218205,0.5552087668192537,0.693712505161259,0.08168077866582259,0.06020143152615957
119,0.9625498007968127,0.3320155361353863,0.4937278622427702,0.15293788211135484,0.09163760462259607
131,0.9759036144578314,0.3182827021778333,0.48001317195535737,0.10869295057010595,0.07253628763774438
157,0.8253079507278835,0.3747399084477736,0.5154391527508512,0.037066666666666664,0.027614855824682816
160,0.9420809841107125,0.4438202247191011,0.6033829704566658,0.04247857199024927,0.03534900788970144
17,0.9904279279279279,0.4323761964211402,0.6019626355843845,0.16809912170639899,0.10234900484660615
187,0.6567992599444958,0.14523512276321265,0.23787090230915922,0.0846016600729191,0.05804633419576813
188,0.9745845552297165,0.2878346511305313,0.4444153004619285,0.0024956210376203248,0.015294379032285027
193,0.8818973862536302,0.2547510056873353,0.3953100143440191,0.03441700386028557,0.019640126177441816
198,0.9930693069306931,0.28214731585518105,0.43944194955135546,0.12594922976784553,0.06404057826211412
2,0.9081632653061225,0.5488972118185601,0.6842382893897047,0.05075611070602035,0.03801477348381574
22,0.943532501641497,0.36787349146899706,0.5293564274020965,0.05097402090200428,0.04072150785548156
24,0.9808568824065633,0.29053960327368566,0.44829095045074363,0.19994102950076817,0.09969385851766178
32,0.9887179487179487,0.2661256762380358,0.4193721472195026,0.07758553925744645,0.03582020469469367
43,0.9923469387755102,0.31391316410043,0.47695059621059455,0.13185208203853324,0.08119743111663559
57,0.9890230515916575,0.24691358024691357,0.3951711055799827,0.13213152804642167,0.07642735237228354
6,0.881870385561936,0.298307670966847,0.44581188297191604,0.1147130618654477,0.06664002168182291
7,0.954248366013072,0.3114856429463171,0.46966371088096603,0.06595969647966166,0.03855707104336945
8,0.9245283018867925,0.26954046924892405,0.4173926968837097,0.009282648111701715,0.009315586638504837
80,0.9794816414686826,0.24698293799417395,0.3944920343761428,0.10698034360006191,0.06316505367043893
82,0.8237332178432222,0.446802607851297,0.5793558000694791,0.03772122669112879,0.02451825464239185
93,0.8577777777777778,0.4316132612012762,0.5742683993612966,0.04418132292043898,0.03578901416182036
95,0.9664179104477612,0.4839090026355944,0.6449005709750257,0.31357210179076345,0.17529849137267223
