family,checkpoint,cluster_seed,effective_modes,normalized_cluster_entropy,nearest_neighbor_distance
DCGAN,image_0,0,7.234306073324243,0.8593968792035634,8.631130864687172
DCGAN,image_1,0,4.132713236178703,0.616235271174296,7.571599467259429
DCGAN,image_2,0,6.2461413050173284,0.7956118049494356,8.88697209873693
DCGAN,image_3,0,2.27896121459488,0.3577369340304164,5.81218362391618
DCGAN,image_4,0,2.9052390786415043,0.46318187726418264,5.895404889977403
DCGAN,image_5,0,7.2702968630326685,0.861552144469046,8.771448224752456
DCGAN,image_6,0,6.067317410555148,0.7829967155714994,8.476088252213177
DCGAN,image_7,0,6.592031039108347,0.8190192436043722,8.430107005551928
DCGAN,image_8,0,7.137779316099053,0.8535631164296701,8.591100195412656
DCGAN,image_9,0,6.06793259356535,0.7830407477235901,8.391489649439734
WGAN,image_90,0,8.457957269982929,0.9272654867392922,10.095749531125486
WGAN,image_91,0,8.431073340797385,0.9258828671884733,9.465749377833026
WGAN,image_92,0,8.431073340797385,0.9258828671884733,9.661808467660254
WGAN,image_93,0,8.377983887793823,0.9231395208080888,9.791198098381255
WGAN,image_94,0,8.05196420228184,0.9059018354185516,9.488037929883383
WGAN,image_95,0,7.728709598464327,0.888106989254968,9.723237093278133
WGAN,image_96,0,8.074991181057305,0.9071420566972284,9.676859301956444
WGAN,image_97,0,8.072750889478181,0.9070215511463394,9.340104165323543
WGAN,image_98,0,8.058018405866765,0.9062282550549949,9.928901586410092
WGAN,image_99,0,8.007278034840688,0.9034849086746103,9.51902795601777
WGAN-GP,image_21,0,6.543155453898291,0.8157872384961647,8.26282167910349
WGAN-GP,image_22,0,7.388607776778821,0.8685626127082039,8.949431590347933
WGAN-GP,image_23,0,7.622737902314753,0.8821109873896952,8.889316154464845
WGAN-GP,image_24,0,7.654714896293774,0.8839290198190994,9.21325639256121
WGAN-GP,image_25,0,7.094822227191878,0.8509415179447468,8.101398944402675
WGAN-GP,image_26,0,6.087570694079548,0.7844440176510901,8.61571282841152
WGAN-GP,image_27,0,6.739886028454362,0.8286525526730257,8.605715596451994
WGAN-GP,image_28,0,7.821296944489683,0.8932787746880408,8.999574366700141
WGAN-GP,image_29,0,7.635577676300028,0.8828418995638682,9.305992922644057
WGAN-GP,image_30,0,7.162185931133728,0.855045591154697,8.658540874243354
WGAN-GP,image_31,0,7.862949127718787,0.8955854658452679,9.45814039401464
WGAN-GP,image_32,0,6.813773343230376,0.833387682882941,8.83580151564685
Conditional WGAN-GP,image_90,0,6.525997038842616,0.8146468723916961,7.648828742694967
Conditional WGAN-GP,image_91,0,6.057458222079941,0.7822904275173084,7.574183816857928
Conditional WGAN-GP,image_92,0,7.992264170509817,0.9026698303103444,8.881129102673384
Conditional WGAN-GP,image_93,0,6.229536716259315,0.794455749860852,8.08360566331848
Conditional WGAN-GP,image_94,0,6.816824052390666,0.8335820846597485,7.7095149315501175
Conditional WGAN-GP,image_95,0,6.713593254118764,0.8269550257945105,7.33131681883515
Conditional WGAN-GP,image_96,0,6.225021310725162,0.7941408425331555,7.842370613749964
Conditional WGAN-GP,image_97,0,7.422571615983706,0.8705543965377346,8.214120855581275
Conditional WGAN-GP,image_98,0,6.918544549176454,0.8400147417481789,8.281799383914048
Conditional WGAN-GP,image_99,0,6.386699271416758,0.8052764671460736,7.851180197716252
DCGAN,image_0,1,8.263109709693028,0.917143518942816,8.631130864687172
DCGAN,image_1,1,5.1916363971997885,0.7153042684958288,7.571599467259429
DCGAN,image_2,1,6.735807216367755,0.8283896488499947,8.88697209873693
DCGAN,image_3,1,2.7234999566941154,0.4351273727035122,5.81218362391618
DCGAN,image_4,1,3.870655539820897,0.5877845239897503,5.895404889977403
DCGAN,image_5,1,7.663332662757692,0.8844176785469222,8.771448224752456
DCGAN,image_6,1,5.085783160141093,0.7063578394492575,8.476088252213177
DCGAN,image_7,1,7.725250796390513,0.8879125874781606,8.430107005551928
DCGAN,image_8,1,8.012515739890329,0.9037688956614511,8.591100195412656
DCGAN,image_9,1,6.514713327547209,0.813895309840842,8.391489649439734
WGAN,image_90,1,8.97528232576235,0.9530481185976796,10.095749531125486
WGAN,image_91,1,9.064583124861546,0.9573478359290094,9.465749377833026
WGAN,image_92,1,9.141914319296253,0.9610371466370553,9.661808467660254
WGAN,image_93,1,9.045290555963655,0.9564225219780291,9.791198098381255
WGAN,image_94,1,8.728394500061675,0.9409343669716725,9.488037929883383
WGAN,image_95,1,9.102608585492694,0.9591658683584136,9.723237093278133
WGAN,image_96,1,8.703090414105361,0.9396734953163147,9.676859301956444
WGAN,image_97,1,8.739599431381981,0.9414915277457191,9.340104165323543
WGAN,image_98,1,8.852218329196695,0.9470521167324066,9.928901586410092
WGAN,image_99,1,8.770975516217925,0.9430478986966644,9.51902795601777
WGAN-GP,image_21,1,7.208797627678152,0.8578628337610001,8.26282167910349
WGAN-GP,image_22,1,7.391564383044425,0.8687363641083303,8.949431590347933
WGAN-GP,image_23,1,7.891177945392763,0.8971418367962134,8.889316154464845
WGAN-GP,image_24,1,7.838351574058773,0.8942247390157022,9.21325639256121
WGAN-GP,image_25,1,7.472595848851335,0.8734714943182454,8.101398944402675
WGAN-GP,image_26,1,7.318745523433703,0.8644366467770005,8.61571282841152
WGAN-GP,image_27,1,7.281996421375337,0.8622504611706624,8.605715596451994
WGAN-GP,image_28,1,7.571348544268616,0.8791732392325031,8.999574366700141
WGAN-GP,image_29,1,8.203730198640605,0.9140113690088164,9.305992922644057
WGAN-GP,image_30,1,7.306091118131428,0.8636850842261464,8.658540874243354
WGAN-GP,image_31,1,8.069138119822108,0.9068271493695321,9.45814039401464
WGAN-GP,image_32,1,7.510306824193795,0.8756576799245837,8.83580151564685
Conditional WGAN-GP,image_90,1,8.51155349683234,0.9300088331196769,7.648828742694967
Conditional WGAN-GP,image_91,1,7.041863786926904,0.8476876201152862,7.574183816857928
Conditional WGAN-GP,image_92,1,8.703090414105365,0.9396734953163149,8.881129102673384
Conditional WGAN-GP,image_93,1,7.389492560077845,0.8686146162128692,8.08360566331848
Conditional WGAN-GP,image_94,1,7.444152615519609,0.8718152681930922,7.7095149315501175
Conditional WGAN-GP,image_95,1,7.362729365139083,0.867038837229815,7.33131681883515
Conditional WGAN-GP,image_96,1,7.638996329311773,0.8830363013406756,7.842370613749964
Conditional WGAN-GP,image_97,1,7.86076766419481,0.8954649602943789,8.214120855581275
Conditional WGAN-GP,image_98,1,8.78126751453703,0.943557207801168,8.281799383914048
Conditional WGAN-GP,image_99,1,7.611669631563408,0.88147993038973,7.851180197716252
DCGAN,image_0,2,7.706303652902458,0.8868461175996103,8.631130864687172
DCGAN,image_1,2,6.129676980534896,0.7874375888303994,7.571599467259429
DCGAN,image_2,2,7.162185931133727,0.8550455911546969,8.88697209873693
DCGAN,image_3,2,3.203532180919514,0.5056290910329113,5.81218362391618
DCGAN,image_4,2,3.688357915152212,0.5668330579980342,5.895404889977403
DCGAN,image_5,2,7.534791164074015,0.8770712198162582,8.771448224752456
DCGAN,image_6,2,6.341882822957681,0.8022182134379926,8.476088252213177
DCGAN,image_7,2,7.529130075034558,0.8767448001798149,8.430107005551928
DCGAN,image_8,2,7.541812175574814,0.8774757123539878,8.591100195412656
DCGAN,image_9,2,7.284910366315439,0.8624242125707888,8.391489649439734
WGAN,image_90,2,8.773826753016616,0.9431890546242342,10.095749531125486
WGAN,image_91,2,8.60006452858027,0.9345017098832419,9.465749377833026
WGAN,image_92,2,8.71857902307318,0.9404457082438498,9.661808467660254
WGAN,image_93,2,8.843322464771363,0.9466154615092489,9.791198098381255
WGAN,image_94,2,8.590393364487124,0.9340130511554193,9.488037929883383
WGAN,image_95,2,8.590393364487124,0.9340130511554193,9.723237093278133
WGAN,image_96,2,8.556881629535978,0.9323155242769039,9.676859301956444
WGAN,image_97,2,8.473621339551277,0.9280690527948114,9.340104165323543
WGAN,image_98,2,8.419454860298721,0.9252839728739364,9.928901586410092
WGAN,image_99,2,8.419454860298718,0.9252839728739362,9.51902795601777
WGAN-GP,image_21,2,8.129798935659604,0.9100798048544204,8.26282167910349
WGAN-GP,image_22,2,7.638059822101221,0.8829830554914382,8.949431590347933
WGAN-GP,image_23,2,7.983852865032305,0.9022125247105058,8.889316154464845
WGAN-GP,image_24,2,8.48829794802425,0.9288206153456654,9.21325639256121
WGAN-GP,image_25,2,7.910579631019931,0.8982083066747635,8.101398944402675
WGAN-GP,image_26,2,7.480091444976935,0.873906907196831,8.61571282841152
WGAN-GP,image_27,2,7.8972774214346515,0.8974773945005905,8.605715596451994
